"","pokemon","id","first_type","second_type","base_HP","base_Attack","base_Defense","base_SpecialAttack","base_SpecialDefense","base_Speed","first_ability","second_ability","third_ability","description","gender_differences","gender_rate","is_baby","evolves_from_species_id","hatch_counter","forms_switchable"
"82","bulbasaur",1,"grass","poison",45,49,49,65,65,45,"overgrow","chlorophyll","","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",0,1,0,NA,20,0
"335","ivysaur",2,"grass","poison",60,62,63,80,80,60,"overgrow","chlorophyll","","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",0,1,0,1,20,0
"757","venusaur",3,"grass","poison",80,82,83,100,100,80,"overgrow","chlorophyll","","There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.",1,1,0,2,20,1
"107","charmander",4,"fire","None",39,52,43,60,50,65,"blaze","solar-power","","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",0,1,0,NA,20,0
"108","charmeleon",5,"fire","None",58,64,58,80,65,80,"blaze","solar-power","","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",0,1,0,4,20,0
"104","charizard",6,"fire","flying",78,84,78,109,85,100,"blaze","solar-power","","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",0,1,0,5,20,1
"677","squirtle",7,"water","None",44,48,65,50,64,43,"torrent","rain-dish","","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",0,1,0,NA,20,0
"776","wartortle",8,"water","None",59,63,80,65,80,58,"torrent","rain-dish","","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",0,1,0,7,20,0
"66","blastoise",9,"water","None",79,83,100,85,105,78,"torrent","rain-dish","","Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.",0,1,0,8,20,1
"100","caterpie",10,"bug","None",45,30,35,20,20,45,"shield-dust","run-away","","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",0,4,0,NA,15,0
"452","metapod",11,"bug","None",50,20,55,25,25,30,"shed-skin","","","The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.",0,4,0,10,15,0
"86","butterfree",12,"bug","flying",60,45,50,90,80,70,"compound-eyes","tinted-lens","","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",1,4,0,11,15,0
"779","weedle",13,"bug","poison",40,35,30,20,20,50,"shield-dust","run-away","","Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).",0,4,0,NA,15,0
"346","kakuna",14,"bug","poison",45,25,50,25,25,35,"shed-skin","","","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",0,4,0,13,15,0
